Date,BAJAJHLDNG,BAYERCROP,BHARTIARTL,BRITANNIA,CESC,CIPLA,CUMMINSIND,DLF,EIHOTEL,FEDERALBNK,HEROMOTOCO,HINDPETRO,ICICIBANK,IDFC,JINDALSTEL,JUSTDIAL,L&TFH,MARICO,MRPL,MUTHOOTFIN,NBCC,NHPC,NMDC,OIL,PFC,RECLTD,SRTRANSFIN,SUNDARMFIN,SUPREMEIND,UNIONBANK,WIPRO
2017-06-30,2080.927979,4615.805664,376.302551,3669.10498,857.796204,553.631165,906.048462,187.651184,135.370651,111.950005,3644.739502,325.852936,290.149994,55.017467,123.199997,371.700012,143.642975,310.068359,107.451225,444.324677,99.63343,30.005108,99.945282,159.442017,115.283272,161.195389,995.843201,1304.180298,1224.554932,147.399994,257.509277
2017-07-03,2072.605469,4606.490723,378.6315,3682.727295,865.351501,549.894409,898.41394,191.046021,134.228073,112.300003,3718.346436,330.066956,290.049988,53.971886,128.699997,381.850006,143.642975,319.537598,108.905106,445.691376,102.118126,30.531513,104.330872,159.994781,117.350296,161.664124,1024.778198,1332.482788,1218.271484,150.350006,258.755219
2017-07-04,2094.420898,4606.98877,375.906097,3726.775879,861.549133,543.11853,899.842346,191.931641,133.085495,112.25,3646.708984,326.843262,289.5,54.668941,126.050003,363.049988,147.774078,318.995087,109.813789,439.882904,100.912682,29.909397,103.222931,162.021591,115.142342,161.898483,1041.661255,1315.530396,1213.484131,146.399994,259.1539
2017-07-05,2118.600098,4603.949707,372.932953,3712.258545,864.561401,543.965576,900.088623,194.244064,136.165497,114.849998,3653.010986,329.779694,292.850006,60.195583,130.550003,366.100006,148.421127,321.165131,111.631142,440.41983,101.404701,29.717978,102.668961,163.832794,116.410744,161.476624,1091.413452,1295.685913,1225.15332,149.350006,256.96106
2017-07-06,2131.899902,4608.931152,377.888214,3710.220215,857.648071,540.926331,900.43335,197.934113,134.724854,115.550003,3668.372559,325.055145,293.75,60.394741,131.449997,363.799988,148.620209,319.537598,111.858307,435.978058,101.429291,30.005108,104.561699,162.973251,117.86705,166.07016,1106.652954,1331.09668,1221.313477,152.850006,256.911224
2017-07-07,2135.300049,4611.272461,382.447021,3671.39209,861.055298,545.211121,895.803345,199.016541,138.40097,115.900002,3625.34082,320.170715,289.700012,59.697685,132.149994,363.600006,147.525208,315.838684,110.631599,438.223328,100.740471,30.435802,107.05455,161.898132,118.242867,169.444992,1085.387329,1307.104004,1219.318848,151,256.86142
2017-07-10,2127.100098,4592.791992,402.069916,3694.85791,863.524353,547.253845,898.955688,199.902145,137.258377,114.5,3673.936035,328.370056,291.450012,56.262207,134.449997,375.899994,148.81929,318.600555,111.222237,438.809082,100.986481,30.77079,108.62413,163.127106,119.041489,175.304077,1051.322754,1315.330933,1230.389404,156.850006,267.377075
2017-07-11,2136.100098,4606.490723,391.911591,3676.065186,851.524841,536.541931,894.522766,195.818497,138.102905,113.949997,3690.971436,327.792603,289.649994,55.764309,138.850006,365.799988,147.425674,317.56485,111.585716,434.464905,102.806938,29.957251,108.439468,161.99025,115.753052,173.663544,1009.887451,1305.628174,1212.187622,152.399994,262.343506
2017-07-12,2163.699951,4611.421875,393.546844,3681.13623,862.240479,538.036621,897.428833,197.29451,137.208725,115.099998,3661.873291,345.944458,292.350006,57.058838,140.149994,371.75,148.719742,319.389648,115.493027,456.625,104.03698,30.052963,110.286034,163.495605,118.524742,175.632202,1029.061279,1304.571045,1193.786377,154.25,262.941528
2017-07-13,2195.699951,4607.985352,400.551392,3706.441895,857.598633,541.723511,917.13092,196.900909,140.040314,115.150002,3693.580811,361.207428,297.899994,56.262207,138.449997,366.200012,150.710632,323.581757,115.35672,458.479828,104.528999,30.531513,110.378365,163.341766,118.430779,175.632202,1022.238403,1331.345947,1191.143433,154.850006,263.190735
2017-07-14,2241.149902,4608.532715,404.376587,3698.089355,893.498657,546.10791,921.120544,198.278519,139.642899,115.800003,3700.572266,373.051849,298.25,55.913681,137.300003,357.549988,148.918854,322.595337,113.94828,461.603729,103.471169,30.675077,110.747681,165.460709,116.457718,172.21048,1028.463623,1304.780518,1186.256348,155.100006,259.004395
2017-07-17,2223.300049,4594.535156,405.81723,3676.711426,890.140686,554.527954,922.450439,201.033768,137.90419,114.099998,3706.776123,363.85556,303.5,55.863888,141.600006,357.450012,148.371353,322.940613,111.858307,457.259552,103.963181,29.861542,110.932335,168.531296,117.209358,174.835358,1004.558594,1330.777588,1154.989258,155.550003,265.981628
2017-07-18,2223.25,4610.923828,405.668182,3721.70459,874.931396,557.766479,921.465393,196.851715,133.18486,113.400002,3726.076172,354.562988,303.899994,57.058838,140.300003,354.649994,147.276352,324.617462,111.994621,457.74765,103.126755,29.957251,110.42453,170.527695,115.518166,172.06987,960.782532,1313.456177,1132.648438,155.649994,268.124634
2017-07-19,2226.149902,4603.949707,418.534729,3784.595703,892.412231,566.236328,952.00354,198.819733,138.798386,115.5,3712.979492,369.488922,302.25,59.150002,143.300003,354.450012,149.615662,326.392944,118.718834,459.358398,103.717171,29.670122,110.840012,174.151077,115.987938,170.944931,965.264709,1338.725342,1125.417603,156.199997,270.217804
2017-07-20,2250.600098,4606.191406,417.094055,3769.581543,888.708679,569.873413,959.933655,199.754532,139.146133,119,3672.852783,354.225952,300.600006,59.099998,141.100006,378.049988,152.104279,321.263763,114.493477,449.20578,106.201859,29.526558,113.933006,175.195801,119.229408,172.21048,955.951721,1361.661011,1102.927124,153.649994,268.274139
