Date,Date.1,UNIONBANK.NS.Open,UNIONBANK.NS.High,UNIONBANK.NS.Low,UNIONBANK.NS.Close,UNIONBANK.NS.Volume,UNIONBANK.NS.Adjusted,log_returns
2013-06-28,2013-06-28,179.25,189.5,179.25,186.350006,1856699.0,171.186386,0.04584307925463715
2013-07-01,2013-07-01,186.350006,193.0,186.350006,192.550003,1184966.0,176.881866,0.03272914650100756
2013-07-02,2013-07-02,192.850006,193.0,184.100006,184.75,1233968.0,169.716583,-0.04135219904769727
2013-07-03,2013-07-03,182.0,183.0,170.100006,171.25,2090472.0,157.315079,-0.07587922008981351
2013-07-04,2013-07-04,172.149994,177.399994,166.550003,173.399994,3183508.0,159.290131,0.012476595824470138
2013-07-05,2013-07-05,175.0,177.800003,171.199997,173.949997,1497583.0,159.79538,0.003166859069708927
2013-07-08,2013-07-08,171.800003,175.0,167.100006,171.5,1415957.0,157.544754,-0.0141845514923169
2013-07-09,2013-07-09,172.649994,177.5,172.100006,176.5,1116857.0,162.137894,0.028737600417074738
2013-07-10,2013-07-10,177.0,178.399994,172.300003,173.199997,792662.0,159.106415,-0.01887391561607199
2013-07-11,2013-07-11,176.100006,179.0,173.600006,176.550003,1160202.0,162.183823,0.01915714672826496
2013-07-12,2013-07-12,177.350006,179.399994,174.100006,175.550003,1624862.0,161.265198,-0.005680199414955567
2013-07-15,2013-07-15,175.0,181.399994,172.5,180.550003,1470457.0,165.858337,0.02808383004708404
2013-07-16,2013-07-16,175.0,176.050003,167.0,168.149994,1435068.0,154.467346,-0.07115131119554352
2013-07-17,2013-07-17,168.050003,168.550003,150.600006,156.25,5058753.0,143.53569,-0.07339900617118555
2013-07-18,2013-07-18,158.699997,164.0,154.199997,163.350006,2918433.0,150.05793799999995,0.04443775777530768
2013-07-19,2013-07-19,165.0,165.399994,154.949997,156.550003,2252536.0,143.811279,-0.04251959531507321
2013-07-22,2013-07-22,157.0,159.899994,153.649994,155.649994,1889985.0,142.984497,-0.005765665742474725
2013-07-23,2013-07-23,157.300003,160.899994,153.600006,154.300003,2432865.0,141.74435400000004,-0.008711100668657323
2013-07-24,2013-07-24,150.300003,150.600006,145.100006,146.25,4196793.0,134.34939599999998,-0.05358127179550731
2013-07-25,2013-07-25,145.0,148.399994,143.199997,145.149994,2148637.0,133.338898,-0.007549846762269219
2013-07-26,2013-07-26,145.5,147.350006,131.199997,134.0,4346230.0,123.096191,-0.0799279021806214
2013-07-29,2013-07-29,133.75,136.899994,130.0,130.649994,2805687.0,120.018784,-0.0253178265230547
2013-07-30,2013-07-30,131.0,133.649994,123.5,123.949997,3458342.0,113.863968,-0.0526437911340576
2013-07-31,2013-07-31,123.050003,134.449997,118.550003,133.100006,3712270.0,122.269432,0.0712225959572752
2013-08-01,2013-08-01,132.399994,134.149994,120.599998,126.199997,6184660.0,115.930885,-0.053232874118342544
2013-08-02,2013-08-02,127.0,128.350006,115.099998,116.75,3929719.0,107.249847,-0.07783306333650852
2013-08-05,2013-08-05,117.900002,121.699997,114.5,120.5,3524091.0,110.69471,0.03161492052788173
2013-08-06,2013-08-06,119.0,119.0,110.050003,112.900002,4382576.0,103.713135,-0.06514728109495316
2013-08-07,2013-08-07,113.5,119.199997,112.400002,117.550003,2965947.0,107.98476399999998,0.04036137243165161
2013-08-08,2013-08-08,117.5,119.0,113.699997,116.949997,2293620.0,107.433571,-0.0051174307227910285
2013-08-12,2013-08-12,117.5,123.550003,109.349998,118.699997,5222371.0,109.041176,0.014852859987663612
2013-08-13,2013-08-13,118.0,121.25,115.400002,120.400002,3242801.0,110.602852,0.014220303011075687
2013-08-14,2013-08-14,121.0,123.349998,117.699997,119.550003,2337361.0,109.822014,-0.007084874591297029
2013-08-16,2013-08-16,118.650002,119.900002,111.75,112.5,2322001.0,103.34568,-0.06078151523849229
2013-08-19,2013-08-19,111.349998,112.5,105.949997,109.099998,2236583.0,100.222336,-0.030688407563672193
2013-08-20,2013-08-20,106.0,117.150002,105.0,115.349998,4142313.0,105.963776,0.055706221877260376
2013-08-21,2013-08-21,121.099998,124.900002,106.650002,107.800003,5670597.0,99.02813,-0.06769334866980438
2013-08-22,2013-08-22,107.599998,114.0,105.400002,112.099998,3216310.0,102.978226,0.039113616635459536
2013-08-23,2013-08-23,113.0,115.099998,110.650002,113.849998,2618477.0,104.585823,0.01549043924856086
2013-08-26,2013-08-26,114.5,115.949997,112.900002,113.599998,2333520.0,104.356171,-0.002198237779601264
2013-08-27,2013-08-27,111.400002,113.0,105.5,106.5,3097128.0,97.833916,-0.06453846300333321
2013-08-28,2013-08-28,104.0,104.0,98.300003,100.300003,4646308.0,92.13842,-0.05997929474708207
2013-08-29,2013-08-29,101.550003,103.099998,97.0,98.650002,5407097.0,90.622681,-0.016587487660290282
