Date,Date.1,SUNDARMFIN.NS.Open,SUNDARMFIN.NS.High,SUNDARMFIN.NS.Low,SUNDARMFIN.NS.Close,SUNDARMFIN.NS.Volume,SUNDARMFIN.NS.Adjusted,log_returns
2015-01-16,2015-01-16,1106.609985,1238.150024,1106.609985,1192.219971,126989.0,1155.899536,0.0576695858258196
2015-01-19,2015-01-19,1221.810059,1221.810059,1167.540039,1209.300049,47511.0,1172.4592289999996,0.01422458812662697
2015-01-20,2015-01-20,1213.630005,1213.630005,1155.650024,1172.72998,61713.0,1137.003296,-0.030707334404985964
2015-01-21,2015-01-21,1176.859985,1189.030029,1148.290039,1179.76001,19203.0,1143.819092,0.005976630468259359
2015-01-22,2015-01-22,1183.400024,1188.709961,1176.859985,1180.530029,12470.0,1144.56543,0.0006522837567617401
2015-01-23,2015-01-23,1184.209961,1188.219971,1152.339966,1182.900024,28581.0,1146.863525,0.002005818915293389
2015-01-27,2015-01-27,1185.030029,1246.319946,1169.5,1219.150024,63296.0,1182.009277,0.030184920753714376
2015-01-28,2015-01-28,1219.150024,1246.160034,1215.310059,1242.359985,48199.0,1204.512207,0.01885891000221029
2015-01-29,2015-01-29,1246.319946,1254.369995,1216.819946,1222.869995,139747.0,1185.615967,-0.015812234605431463
2015-01-30,2015-01-30,1226.709961,1269.209961,1144.170044,1235.73999,84255.0,1198.09375,0.010469309145525685
2015-02-02,2015-02-02,1239.790039,1250.410034,1202.640015,1222.420044,42850.0,1185.179565,-0.010837457304266884
2015-02-03,2015-02-03,1219.400024,1234.069946,1209.550049,1230.959961,10278.0,1193.459351,0.00696181281280861
2015-02-04,2015-02-04,1227.530029,1234.069946,1216.209961,1222.829956,26776.0,1185.576904,-0.006626612627622208
2015-02-05,2015-02-05,1222.829956,1225.890015,1213.630005,1220.25,48648.0,1183.075806,-0.002111832535838687
2015-02-06,2015-02-06,1222.540039,1222.619995,1197.699951,1211.75,14150.0,1174.834595,-0.006990294927951446
2015-02-09,2015-02-09,1185.849976,1221.810059,1185.849976,1214.900024,77416.0,1177.888672,0.002596207346852175
2015-02-10,2015-02-10,1220.98999,1221.849976,1205.5,1221.680054,40201.0,1188.865723,0.009276103793544266
2015-02-11,2015-02-11,1217.800049,1327.560059,1193.530029,1270.920044,49006.0,1236.783325,0.03951423777156826
2015-02-12,2015-02-12,1252.130005,1270.839966,1242.23999,1262.469971,26440.0,1228.559937,-0.006671215830512446
2015-02-13,2015-02-13,1265.72998,1270.800049,1247.140015,1266.51001,20098.0,1232.491577,0.003195092278524214
2015-02-16,2015-02-16,1262.670044,1266.76001,1250.410034,1261.079956,9707.0,1227.207275,-0.004296713091918925
2015-02-18,2015-02-18,1258.579956,1270.839966,1245.51001,1256.829956,37755.0,1223.071411,-0.003375834717423309
2015-02-19,2015-02-19,1260.219971,1282.369995,1243.869995,1253.599976,25437.0,1219.928345,-0.002573121611212592
2015-02-20,2015-02-20,1257.77002,1257.77002,1235.780029,1250.079956,19844.0,1216.502686,-0.002812032201023662
2015-02-23,2015-02-23,1246.319946,1246.319946,1209.550049,1227.810059,22181.0,1194.831055,-0.017975292392870656
2015-02-24,2015-02-24,1223.439941,1245.469971,1186.98999,1230.060059,36587.0,1197.020874,0.0018310662004497047
2015-02-25,2015-02-25,1225.890015,1225.890015,1189.439941,1206.359985,62597.0,1173.957031,-0.0194557447952608
2015-02-26,2015-02-26,1242.23999,1265.119995,1222.050049,1226.869995,181446.0,1193.91626,0.01685875828253991
2015-02-27,2015-02-27,1239.790039,1274.930054,1222.619995,1236.189941,47914.0,1202.985962,0.007567889256468341
2015-03-02,2015-03-02,1247.140015,1302.310059,1235.01001,1282.77002,73334.0,1248.314819,0.03698772918540882
2015-03-03,2015-03-03,1287.150024,1302.27002,1275.949951,1293.189941,27644.0,1258.454834,0.008090149243327183
2015-03-04,2015-03-04,1297.810059,1302.310059,1258.579956,1268.959961,25926.0,1234.875854,-0.018914204242526544
2015-03-05,2015-03-05,1265.160034,1284.650024,1265.119995,1275.300049,10303.0,1241.045532,0.004983753365500832
2015-03-09,2015-03-09,1274.810059,1283.02002,1268.349976,1277.380005,30572.0,1243.06958,0.001629593120012096
2015-03-10,2015-03-10,1273.329956,1281.430054,1257.069946,1271.949951,28774.0,1237.7854,-0.00425997330256056
