Date,Date.1,FEDERALBNK.NS.Open,FEDERALBNK.NS.High,FEDERALBNK.NS.Low,FEDERALBNK.NS.Close,FEDERALBNK.NS.Volume,FEDERALBNK.NS.Adjusted,log_returns
2013-07-16,2013-07-16,39.52,39.525002,38.400002,38.560001,2055310.0,35.570293,-0.033784746078670665
2013-07-17,2013-07-17,38.305,38.400002,36.57,36.799999,4969580.0,33.946746999999995,-0.04671779116961439
2013-07-18,2013-07-18,36.849998,38.150002,36.220001,37.924999,2698080.0,34.984524,0.030112760238800718
2013-07-19,2013-07-19,38.18,38.959999,37.509998,38.220001,4115940.0,35.25665700000001,0.007748570217760875
2013-07-22,2013-07-22,37.5,38.345001,36.255001,38.014999,5482790.0,35.067543,-0.005378360674451077
2013-07-23,2013-07-23,38.02,38.404999,37.709999,37.84,1348640.0,34.906116,-0.00461394440950702
2013-07-24,2013-07-24,37.509998,37.509998,34.720001,34.904999,4947260.0,32.198677,-0.08073669265828354
2013-07-25,2013-07-25,34.605,35.43,34.200001,34.759998,4466410.0,32.064922,-0.004162704710746201
2013-07-26,2013-07-26,34.904999,35.099998,33.455002,34.764999,6175920.0,32.069534000000004,0.00014382284642611154
2013-07-29,2013-07-29,34.700001,34.775002,33.810001,34.0,3259150.0,31.363848,-0.022250590849119067
2013-07-30,2013-07-30,34.0,34.400002,33.5,33.720001,2634800.0,31.105556,-0.008269439289361191
2013-07-31,2013-07-31,33.98,35.450001,32.150002,34.965,4456550.0,32.254025,0.0362563889087375
2013-08-01,2013-08-01,35.0,35.575001,33.900002,34.759998,2180500.0,32.064922,-0.0058801816166833545
2013-08-02,2013-08-02,35.099998,35.49000200000001,34.400002,34.950001,3070830.0,32.240192,0.005451212916679715
2013-08-05,2013-08-05,34.630001,36.200001,34.035,35.645,1660500.0,32.881302000000005,0.01969029498844144
2013-08-06,2013-08-06,35.299999,35.599998,33.619999,33.895,2497320.0,31.266985,-0.0503414194152092
2013-08-07,2013-08-07,34.23,34.389999,33.055,33.34,3062820.0,30.755018,-0.01650958059806662
2013-08-08,2013-08-08,33.119999,33.700001,31.610001,31.795,5668550.0,29.329807,-0.04744886525635339
2013-08-12,2013-08-12,32.200001,33.395,30.860001,33.064999,3747550.0,30.501339,0.03916628161456703
2013-08-13,2013-08-13,32.900002,34.490002000000004,32.349998,34.134998,4958810.0,31.48838,0.03184800459739323
2013-08-14,2013-08-14,34.400002,34.575001,32.619999,32.805,2981770.0,30.261501000000006,-0.039742278319574435
2013-08-16,2013-08-16,32.740002000000004,33.0,30.355,31.01,5219690.0,28.605673,-0.05627125576779468
2013-08-19,2013-08-19,31.0,31.67,29.424999,29.575001,5281830.0,27.281933,-0.04738036656285649
2013-08-20,2013-08-20,29.395,30.02,28.105,29.700001,5748980.0,27.397243,0.004217699657263374
2013-08-21,2013-08-21,31.0,32.400002,28.025,28.690001,5797110.0,26.465549,-0.034598538419334364
2013-08-22,2013-08-22,27.809999,28.195,27.174999,27.74,5073240.0,25.589209,-0.03367311029211928
2013-08-23,2013-08-23,27.49,28.99,27.025,28.555,6900310.0,26.341019,0.02895664279330035
2013-08-26,2013-08-26,28.625,29.5,28.139999,28.76,2026790.0,26.530125,0.007153497810401087
2013-08-27,2013-08-27,28.389999,28.48,26.51,26.74,3317180.0,24.666742000000006,-0.07282502120028989
2013-08-28,2013-08-28,26.290001,26.290001,23.9,25.725,10538530.0,23.730438,-0.038697330659572586
2013-08-29,2013-08-29,25.83,27.77,25.125,27.014999,6628610.0,24.92042,0.04892901978393294
2013-08-30,2013-08-30,26.98,27.4,25.35,25.615,10796150.0,23.628967000000006,-0.05321417308229215
2013-09-02,2013-09-02,25.77,26.389999,24.57,24.805,9427670.0,22.881773000000006,-0.03213271985947275
2013-09-03,2013-09-03,24.969999,25.065001,22.705,23.01,10419840.0,21.225945,-0.07511640059355518
2013-09-04,2013-09-04,23.0,24.66,22.315001,24.415001,7963470.0,22.522009,0.0592687547095343
2013-09-05,2013-09-05,25.325001,27.9,25.325001,27.455,19781310.0,25.326307,0.11735064900095392
2013-09-06,2013-09-06,27.785,28.639999,26.549999,28.075001,7942490.0,25.898235,0.0223311617802735
2013-09-10,2013-09-10,29.0,29.49,28.299999,28.625,6118340.0,26.405592,0.01940098623853226
2013-09-11,2013-09-11,28.59,30.08,27.870001,29.860001,8926460.0,27.544838,0.04223934371843052
2013-09-12,2013-09-12,30.0,30.290001,28.9,29.66,7606460.0,27.360344,-0.006720483847491021
2013-09-13,2013-09-13,29.4,30.549999,29.299999,30.07,5204910.0,27.738556,0.013728692962542866
2013-09-16,2013-09-16,30.690001,31.32,29.16,30.105,4937640.0,27.770840000000003,0.001163190593536978
2013-09-17,2013-09-17,30.125,30.219999,29.41,29.59,2197200.0,27.295771,-0.017254767564347517
2013-09-18,2013-09-18,29.620001,30.0,29.105,29.57,5331830.0,27.277321,-0.0006761574258220547
2013-09-19,2013-09-19,31.389999,32.035,31.0,31.635,12021940.0,29.182213,0.06750375549450237
2013-09-20,2013-09-20,31.895,32.200001,28.84,30.530001,12018300.0,28.162888,-0.03555429698570434
2013-09-23,2013-09-23,30.139999,30.485001,29.0,29.610001,5388170.0,27.314219,-0.03059767375904698
2013-09-24,2013-09-24,29.5,30.334999,29.0,30.02,4714880.0,27.692432,0.013751753777047071
2013-09-25,2013-09-25,30.110001,30.280001,29.115,30.004999,4820520.0,27.678593,-0.0004998643347544629
2013-09-26,2013-09-26,29.799999,30.6,29.4,30.049999,7539340.0,27.720104,0.0014986275857382658
2013-09-27,2013-09-27,29.764999,30.299999,29.43,29.629999,3619340.0,27.332668,-0.014075309281945891
2013-09-30,2013-09-30,29.424999,29.68,28.145,28.459999,4377180.0,26.253382,-0.04028779800251403
2013-10-01,2013-10-01,28.139999,29.24,27.83,28.559999,5623500.0,26.345631,0.003507635954392629
2013-10-03,2013-10-03,28.65,29.375,28.620001,29.084999,7785730.0,26.829926,0.0182154515387829
2013-10-04,2013-10-04,28.775,29.5,28.6,28.92,3685070.0,26.677719,-0.0056891836872172705
2013-10-07,2013-10-07,28.9,29.23,28.495001,29.125,2551150.0,26.866823,0.007063457046189381
2013-10-08,2013-10-08,30.299999,30.4,29.215,29.389999,4814320.0,27.111277,0.009057587104617236
2013-10-09,2013-10-09,29.299999,30.43,28.83,30.295,4044000.0,27.946108,0.030328174456073945
2013-10-10,2013-10-10,30.299999,31.4,30.25,31.280001,7270140.0,28.854738,0.031996266992742495
2013-10-11,2013-10-11,31.700001,33.099998,31.315001,32.619999,9799460.0,30.090843,0.041946697962119917
2013-10-14,2013-10-14,32.599998,34.990002000000004,32.599998,34.764999,10083380.0,32.069534000000004,0.06368557668377095
2013-10-15,2013-10-15,34.990002000000004,35.555,33.25,33.470001,7842530.0,30.874941,-0.03796159887028727
2013-10-17,2013-10-17,34.450001,35.799999,33.525002,34.375,6472970.0,31.709772,0.026680014348432483
2013-10-18,2013-10-18,34.799999,35.950001,34.625,35.674999,6069636.0,32.908978000000005,0.03712060971871445
2013-10-21,2013-10-21,36.25,42.5,36.25,39.200001,29875016.0,36.160671,0.09422658368544834
2013-10-22,2013-10-22,39.5,40.0,38.575001,39.450001,8367090.0,36.391289,0.0063573410481749795
2013-10-23,2013-10-23,39.650002,40.125,38.5,39.174999,4785602.0,36.137604,-0.006995447580667058
2013-10-24,2013-10-24,39.900002,41.700001,38.875,41.075001,19220878.0,37.890293,0.04736097267642414
2013-10-25,2013-10-25,41.599998,41.849998,39.775002,40.150002,9602326.0,37.03701,-0.022777274934127508
2013-10-28,2013-10-28,40.150002,40.450001,37.599998,38.150002,5065530.0,35.192081,-0.051096597274303164
2013-10-29,2013-10-29,38.150002,40.375,37.625,39.900002,9048440.0,36.806393,0.04485046720967123
2013-10-30,2013-10-30,40.0,40.575001,38.825001,39.875,5684548.0,36.783333,-0.0006267179403489642
2013-10-31,2013-10-31,39.650002,41.375,39.5,41.049999,7287522.0,37.867233,0.029041338520456875
2013-11-01,2013-11-01,41.150002,42.375,40.875,41.450001,8725052.0,38.236221,0.009697086585089831
2013-11-05,2013-11-05,41.625,43.25,40.549999,42.724998,10950644.0,39.412357,0.03029613649597307
2013-11-06,2013-11-06,43.0,43.25,40.25,40.650002,6692172.0,37.498245,-0.049785264692868925
2013-11-07,2013-11-07,41.25,42.950001,39.075001,39.424999,15076352.0,36.36822100000001,-0.03059878801869953
2013-11-08,2013-11-08,39.5,39.875,38.5,39.025002,6516364.0,35.999237,-0.01019760007545134
2013-11-11,2013-11-11,39.0,39.349998,38.025002,38.150002,3979892.0,35.192081,-0.022676658083822243
2013-11-12,2013-11-12,38.150002,38.799999,37.25,37.400002,4869306.0,34.500233,-0.019855008065541302
2013-11-13,2013-11-13,37.275002,37.950001,36.650002,36.900002,4593946.0,34.038998,-0.013459210323466751
2013-11-14,2013-11-14,37.5,38.049999,37.400002,37.825001,3220894.0,34.892277,0.024758648007758843
2013-11-18,2013-11-18,38.400002,39.275002,38.099998,39.075001,3327094.0,36.045364,0.03251274097156465
2013-11-19,2013-11-19,39.075001,39.375,38.575001,38.75,2353396.0,35.745556,-0.00835230257268593
2013-11-20,2013-11-20,39.25,39.950001,38.599998,39.400002,5080426.0,36.345161,0.016635118976176866
2013-11-21,2013-11-21,38.950001,39.400002,38.25,38.900002,3208114.0,35.883934,-0.01277139826153606
2013-11-22,2013-11-22,39.0,39.5,38.400002,38.825001,2587992.0,35.814747,-0.0019299384733408864
