Date,Date.1,ICICIBANK.NS.Open,ICICIBANK.NS.High,ICICIBANK.NS.Low,ICICIBANK.NS.Close,ICICIBANK.NS.Volume,ICICIBANK.NS.Adjusted,log_returns
2014-11-19,2014-11-19,306.100006,309.817993,304.0,305.9819950000001,14558984.0,288.873505,0.0010102496702000252
2014-11-20,2014-11-20,306.454987,307.972992,304.454987,306.899994,8960452.0,289.740204,0.002995779860434311
2014-11-21,2014-11-21,307.454987,316.144989,304.908997,314.673004,17794084.0,297.078583,0.02501201983795553
2014-11-24,2014-11-24,316.364014,323.454987,316.364014,322.417999,13578186.0,304.3904720000001,0.02431463154707192
2014-11-25,2014-11-25,321.282013,321.445007,313.317993,315.864014,17101408.0,298.2029720000001,-0.020536955831372158
2014-11-26,2014-11-26,312.635986,315.2909850000001,310.182007,310.9819950000001,15505331.0,293.593933,-0.015576736388515757
2014-11-27,2014-11-27,311.709015,315.417999,310.0,313.30899,15438511.0,295.790802,0.007454822100626756
2014-11-28,2014-11-28,313.635986,323.091003,313.635986,318.9819950000001,16467154.0,301.146606,0.017944754836514143
2014-12-01,2014-12-01,321.091003,322.872986,318.364014,319.664001,17857714.0,301.790497,0.002135848802716111
2014-12-02,2014-12-02,318.855011,322.764008,315.463989,321.908997,14228055.0,303.910004,0.006998560006429066
2014-12-03,2014-12-03,320.927002,326.936005,320.027008,326.200012,12067710.0,307.9610600000001,0.01324172830517778
2014-12-04,2014-12-04,329.545013,332.77301,325.77301,329.27301,13537613.0,310.862244,0.009376522302968482
2014-12-05,2014-12-05,330.72699,331.77301,325.817993,327.091003,8548680.0,308.802246,-0.006648777272116213
2014-12-08,2014-12-08,328.091003,329.091003,320.545013,321.635986,6475663.0,303.652222,-0.016818051487986985
2014-12-09,2014-12-09,322.72699,325.408997,317.454987,318.545013,8119718.0,300.734039,-0.009656757162446185
2014-12-10,2014-12-10,314.182007,322.545013,314.182007,320.045013,11679798.0,302.150208,0.004697988417332155
2014-12-11,2014-12-11,319.72699,321.045013,312.954987,316.317993,8902775.0,298.631561,-0.011713695103472864
2014-12-12,2014-12-12,315.908997,319.045013,313.27301,314.817993,7508488.0,297.215454,-0.004753265957832653
2014-12-15,2014-12-15,311.635986,317.27301,311.045013,313.864014,7925545.0,296.314789,-0.0030349445607846803
2014-12-16,2014-12-16,310.77301,311.364014,299.317993,300.635986,16369716.0,283.826385,-0.043059634778887634
2014-12-17,2014-12-17,299.545013,307.591003,290.182007,302.135986,25141234.0,285.242523,0.004977045497834176
2014-12-18,2014-12-18,310.864014,315.454987,308.5,314.317993,10631579.0,296.743378,0.03952794185677089
2014-12-19,2014-12-19,317.27301,325.0,315.22699,323.635986,25004771.0,305.540375,0.02921421211127395
2014-12-22,2014-12-22,323.182007,327.864014,319.135986,326.545013,9977670.0,308.2867740000001,0.008948503926902163
2014-12-23,2014-12-23,325.27301,329.0,319.317993,320.908997,8114148.0,302.965851,-0.017410338011320192
2014-12-24,2014-12-24,320.317993,324.454987,319.0,321.0,13035476.0,303.051819,0.00028371450151531974
2014-12-26,2014-12-26,321.954987,324.27301,316.454987,319.045013,3566407.0,301.206146,-0.006108909925091055
2014-12-29,2014-12-29,318.182007,322.454987,316.72699,317.408997,4125798.0,299.661621,-0.005140992699613101
2014-12-30,2014-12-30,320.0,320.0,315.682007,318.408997,6246151.0,300.605682,0.0031454712714129585
2014-12-31,2014-12-31,318.27301,322.545013,318.27301,321.0,5069990.0,303.051819,0.008104431353291197
2015-01-01,2015-01-01,320.635986,321.317993,318.364014,320.27301,2583281.0,302.365448,-0.0022674321710978163
2015-01-02,2015-01-02,320.0,330.454987,320.0,329.364014,8272990.0,310.948151,0.027989802720569838
2015-01-05,2015-01-05,332.091003,334.0,328.635986,330.045013,10316090.0,311.591095,0.002065554044103912
2015-01-06,2015-01-06,326.72699,327.182007,314.72699,316.045013,13282427.0,298.373871,-0.043344434459944736
2015-01-07,2015-01-07,314.182007,314.77301,304.954987,307.5,21254332.0,290.306641,-0.02740955371901066
2015-01-08,2015-01-08,313.635986,316.817993,310.182007,315.864014,12558145.0,298.2029720000001,0.02683662164268164
2015-01-09,2015-01-09,318.135986,318.545013,306.454987,310.77301,15701030.0,293.396637,-0.01624896527093167
2015-01-12,2015-01-12,311.591003,316.0,307.908997,315.045013,8304116.0,297.429779,0.013652756674282784
2015-01-13,2015-01-13,317.27301,317.27301,308.864014,309.908997,13100848.0,292.580902,-0.016436943687103245
2015-01-14,2015-01-14,308.408997,310.72699,302.72699,306.27301,13127935.0,289.148254,-0.011801670265064068
2015-01-15,2015-01-15,320.135986,323.635986,315.954987,320.77301,16662989.0,302.837494,0.046256792006554186
2015-01-16,2015-01-16,320.77301,322.364014,315.864014,321.682007,14726646.0,303.695679,0.0028298058898785787
2015-01-19,2015-01-19,323.182007,328.908997,321.364014,328.0,10277015.0,309.6604,0.01945006903313473
2015-01-20,2015-01-20,327.0,335.682007,327.0,334.317993,11477610.0,315.6251220000001,0.019078973437019364
