Date,Date.1,NBCC.NS.Open,NBCC.NS.High,NBCC.NS.Low,NBCC.NS.Close,NBCC.NS.Volume,NBCC.NS.Adjusted,log_returns
2015-03-09,2015-03-09,70.333298,70.959999,67.199997,68.113297,10751265.0,57.998569,-0.03769743775457268
2015-03-10,2015-03-10,68.733299,70.503304,64.48670200000001,67.353302,13877100.0,57.35143299999999,-0.01122050764263971
2015-03-11,2015-03-11,67.923302,68.293297,65.533302,66.050003,7392855.0,56.241673,-0.019539835614987844
2015-03-12,2015-03-12,66.266701,67.866699,66.133301,66.846703,6354750.0,56.920067,0.01198995574098305
2015-03-13,2015-03-13,67.133301,69.866699,66.066704,67.32,14392770.0,57.323078,0.0070553497411864905
2015-03-16,2015-03-16,67.466698,67.833298,66.0,67.0867,5372580.0,57.124413,-0.003471726602385594
2015-03-17,2015-03-17,67.553299,68.9133,66.816704,68.173302,6335790.0,58.049664,0.016067346563040985
2015-03-18,2015-03-18,68.463303,68.516701,66.813301,67.2033,3413160.0,57.223701,-0.014330754301408176
2015-03-19,2015-03-19,67.779999,70.190002,65.150002,66.57330300000001,10711485.0,56.68726700000001,-0.009418548098721223
2015-03-20,2015-03-20,66.666702,67.066704,63.196701,64.07,6184125.0,54.55569499999999,-0.03832751115014421
2015-03-23,2015-03-23,64.456703,65.5,63.0,63.9133,3907095.0,54.422268,-0.0024486981220297466
2015-03-24,2015-03-24,64.066704,64.766701,62.353298,63.456699,4600050.0,54.03347,-0.007169738967929717
2015-03-25,2015-03-25,63.5667,64.08000200000001,60.733299,61.119999,5461785.0,52.043762,-0.0375187277960185
2015-03-26,2015-03-26,60.200001,62.526699,56.666698,61.4333,9405315.0,52.310543,0.005112996175833384
2015-03-27,2015-03-27,61.6633,63.233299,59.4067,60.853298,6587430.0,51.816666,-0.009486102782256813
2015-03-30,2015-03-30,61.393299,64.266701,61.393299,63.84,6966345.0,54.359848,0.04791395813459687
2015-03-31,2015-03-31,64.333298,65.333298,63.009998,63.799999,6723795.0,54.32579000000001,-0.0006267249609330782
2015-04-01,2015-04-01,63.4067,65.706703,62.799999,65.113297,7177260.0,55.444061,0.020375534415278285
2015-04-06,2015-04-06,65.576698,65.993301,64.110001,65.536697,6467820.0,55.804588,0.006481485669704412
2015-04-07,2015-04-07,65.826698,66.800003,64.746696,65.653297,7428000.0,55.903877,0.0017776455194562504
2015-04-08,2015-04-08,65.7267,67.92669699999999,65.089996,66.58000200000001,9974850.0,56.69297,0.014016483407285564
2015-04-09,2015-04-09,66.866699,67.16999799999999,65.333298,65.706703,3662685.0,55.949348,-0.013203435727974444
2015-04-10,2015-04-10,65.666702,66.92669699999999,65.283302,65.910004,3604125.0,56.122463,0.0030893609399473827
2015-04-13,2015-04-13,65.766701,67.266701,61.7267,64.410004,14533800.0,54.845211,-0.023021270306482045
2015-04-15,2015-04-15,64.0,64.666702,61.0,61.3367,10412250.0,52.228287,-0.04889062739425665
2015-04-16,2015-04-16,61.330002,62.193298,58.833302,60.360001,8275035.0,51.396626,-0.01605171638416092
2015-04-17,2015-04-17,60.513302,60.696701,59.0867,59.643299,3529830.0,50.786358,-0.01194475307010201
2015-04-20,2015-04-20,59.793301,59.9333,57.866699,58.0667,3126705.0,49.443874,-0.026789607528322712
2015-04-21,2015-04-21,58.313301,60.0667,57.0,57.41,6028305.0,48.884693,-0.01137384679190534
2015-04-22,2015-04-22,57.66,58.313301,55.759998,57.243301,4066800.0,48.742748,-0.0029078934891275665
2015-04-23,2015-04-23,57.66,58.32,56.473301,56.6367,2552715.0,48.226231,-0.010653342758410568
2015-04-24,2015-04-24,56.91,56.9133,51.673302,52.2733,6285135.0,44.510788,-0.08017149788755518
2015-04-27,2015-04-27,52.720001,52.720001,48.0667,48.403301,6881730.0,41.215485,-0.07691755150151014
2015-04-28,2015-04-28,48.493301,51.599998,46.666698,50.923302,9245835.0,43.361259,0.05075235743140727
2015-04-29,2015-04-29,50.866699,53.733299,50.283298,53.1567,8740755.0,45.263004,0.04292361738761796
2015-04-30,2015-04-30,52.330002,52.803299,51.34,52.2467,5115840.0,44.488144,-0.017267283367400132
2015-05-04,2015-05-04,52.419998,53.993301,52.34,53.220001,3905865.0,45.31691,0.01845752530920519
2015-05-05,2015-05-05,53.263302,53.400002,52.043301,52.669998,3643365.0,44.848576,-0.01038841429509052
2015-05-06,2015-05-06,52.4333,52.4333,49.866699,50.1633,4002465.0,42.714123,-0.0487622227584783
2015-05-07,2015-05-07,50.133301,50.133301,47.666698,48.036701,4736235.0,40.903316,-0.04331847940665679
2015-05-08,2015-05-08,48.93,51.776699,48.766701,50.463299,12087375.0,42.969574,0.04928114828743446
2015-05-11,2015-05-11,50.846699,52.799999,50.799999,51.7267,5904255.0,44.045357,0.02472766003136861
2015-05-12,2015-05-12,51.846699,51.846699,49.823299,50.14670200000001,3252180.0,42.699986,-0.03102135151004282
2015-05-13,2015-05-13,50.666698,51.790001,50.400002,51.186699,4110600.0,43.585545,0.020526966321627427
2015-05-14,2015-05-14,50.919998,52.1133,50.333302,51.290001,3787800.0,43.673508,0.0020161353297289963
2015-05-15,2015-05-15,52.0667,52.5867,51.400002,51.5467,3200580.0,43.892086,0.004992336464384017
2015-05-18,2015-05-18,51.8633,53.326698,51.606701,52.536701,4451670.0,44.735077,0.019023883764010208
2015-05-19,2015-05-19,53.133301,55.32,53.006699,54.0933,13700385.0,46.060524,0.029198356547884163
2015-05-20,2015-05-20,54.553299,55.6633,54.46670200000001,54.643299,6764205.0,46.528847,0.01011621504421356
2015-05-21,2015-05-21,54.939999,55.083302,53.46670200000001,54.0667,3428580.0,46.037876,-0.01060803684473388
2015-05-22,2015-05-22,54.46670200000001,55.166698,50.883301,53.799999,20220390.0,45.810776,-0.004945101704755484
2015-05-25,2015-05-25,53.9067,54.893299,53.41,53.939999,7124295.0,45.929989,0.002598911554758221
