Date,Date.1,WIPRO.NS.Open,WIPRO.NS.High,WIPRO.NS.Low,WIPRO.NS.Close,WIPRO.NS.Volume,WIPRO.NS.Adjusted,log_returns
2015-10-12,2015-10-12,300.0,300.0,291.0,291.975006,2121374.0,282.219452,-0.014282291113298484
2015-10-13,2015-10-13,292.5,296.850006,291.825012,292.674988,1948304.0,282.896027,0.002394467497007113
2015-10-14,2015-10-14,291.049988,297.225006,290.524994,291.450012,2100342.0,281.7120060000001,-0.004194140594727891
2015-10-15,2015-10-15,293.975006,293.975006,288.049988,288.549988,1682280.0,278.908844,-0.010000289361326686
2015-10-16,2015-10-16,289.5,291.075012,282.799988,288.475006,1833026.0,278.836426,-0.0002596812713688834
2015-10-19,2015-10-19,290.950012,292.125,285.549988,288.774994,1999000.0,279.126373,0.001039305941609392
2015-10-20,2015-10-20,289.5,289.950012,285.0,285.899994,2683808.0,276.347412,-0.01000581579169868
2015-10-21,2015-10-21,287.399994,289.75,285.600006,288.924988,2026802.0,279.271362,0.010525119485716772
2015-10-23,2015-10-23,286.899994,286.899994,282.325012,283.875,3718572.0,274.390106,-0.017633094435013597
2015-10-26,2015-10-26,285.299988,287.149994,282.850006,284.524994,2130738.0,275.018341,0.0022869516376893273
2015-10-27,2015-10-27,285.125,288.700012,283.0,287.549988,5877838.0,277.942291,0.01057571582263428
2015-10-28,2015-10-28,287.450012,290.625,284.875,289.0,2811362.0,279.343842,0.0050299258207209254
2015-10-29,2015-10-29,289.524994,289.950012,285.5,287.299988,3056310.0,277.700623,-0.005899793893001437
2015-10-30,2015-10-30,286.25,289.524994,284.575012,286.424988,2268624.0,276.854889,-0.003050135243008789
2015-11-02,2015-11-02,286.75,288.674988,284.25,287.575012,3635644.0,277.966461,0.004006960032297613
2015-11-03,2015-11-03,287.575012,289.825012,285.674988,287.125,2113972.0,277.531494,-0.0015660438890225947
2015-11-04,2015-11-04,288.549988,289.475006,285.725006,286.524994,1631570.0,276.951508,-0.002091989148196305
2015-11-05,2015-11-05,286.625,287.450012,284.674988,285.424988,1229242.0,275.888306,-0.0038463340875658494
2015-11-06,2015-11-06,284.125,286.325012,283.350006,284.975006,1372408.0,275.453339,-0.001577849575435053
2015-11-09,2015-11-09,281.75,283.5,278.100006,280.125,2655952.0,270.765381,-0.01716555269566289
2015-11-10,2015-11-10,280.475006,280.899994,275.725006,278.024994,2861430.0,268.735535,-0.007524938394268155
2015-11-13,2015-11-13,277.0,277.625,275.200012,275.75,1247482.0,266.536591,-0.008216218492911764
2015-11-16,2015-11-16,274.950012,278.975006,271.125,276.75,2221652.0,267.503143,0.0036197795551231593
2015-11-17,2015-11-17,278.5,278.5,275.5,277.924988,2931074.0,268.638885,0.004236726984837347
2015-11-18,2015-11-18,276.75,278.424988,275.575012,277.174988,2460676.0,267.91394,-0.0027022332465884698
2015-11-19,2015-11-19,277.725006,281.0,276.325012,278.375,2012674.0,269.073853,0.0043200788512605115
2015-11-20,2015-11-20,280.850006,287.5,279.0,284.850006,3707916.0,275.33252000000005,0.02299364246409219
2015-11-23,2015-11-23,286.975006,288.075012,283.774994,285.049988,2223588.0,275.52578700000004,0.0007016940852997423
2015-11-24,2015-11-24,286.600006,288.700012,281.25,281.924988,2040716.0,272.505219,-0.011023458725174072
2015-11-26,2015-11-26,279.5,286.475006,279.5,284.75,3852418.0,275.23584,0.009970563924331266
2015-11-27,2015-11-27,284.75,285.200012,282.450012,284.975006,2676720.0,275.453339,0.0007899156896611358
2015-11-30,2015-11-30,284.5,287.875,283.600006,284.975006,8337976.0,275.453339,0.0
2015-12-01,2015-12-01,289.600006,293.725006,289.600006,290.975006,3450146.0,281.252869,0.0208359085280243
2015-12-02,2015-12-02,292.399994,292.700012,288.024994,288.875,1420352.0,279.222992,-0.007243437287612231
2015-12-03,2015-12-03,292.5,292.5,284.649994,286.274994,2615408.0,276.7099,-0.00904105209321582
2015-12-04,2015-12-04,286.174988,286.174988,281.100006,284.649994,2067500.0,275.13919100000004,-0.005692546267426657
2015-12-07,2015-12-07,285.924988,288.700012,283.950012,288.024994,2330030.0,278.401398,0.011786831292145195
2015-12-08,2015-12-08,287.100006,289.450012,282.174988,283.350006,1401302.0,273.88266,-0.016364183510931163
2015-12-09,2015-12-09,282.0,286.924988,281.274994,282.649994,1583830.0,273.206024,-0.00247358925452712
2015-12-10,2015-12-10,283.524994,285.0,279.825012,282.549988,2255396.0,273.109344,-0.00035393476615208636
2015-12-11,2015-12-11,283.5,283.875,280.299988,282.950012,1384242.0,273.496002,0.0014147613715174145
2015-12-14,2015-12-14,281.600006,285.0,280.0,283.524994,1489884.0,274.051788,0.002030091988423521
2015-12-15,2015-12-15,284.200012,285.0,278.200012,279.450012,2397736.0,270.112915,-0.014477020548429032
2015-12-16,2015-12-16,276.125,279.424988,276.125,277.475006,4113776.0,268.20391800000004,-0.007092496037288677
2015-12-17,2015-12-17,278.75,279.200012,276.549988,278.049988,3811378.0,268.75973500000003,0.0020702227996469698
2015-12-18,2015-12-18,277.0,278.674988,275.225006,277.100006,5610624.0,267.841461,-0.003422560006303144
2015-12-21,2015-12-21,276.899994,279.625,274.25,277.924988,2327882.0,268.638885,0.0029728007492462183
2015-12-22,2015-12-22,277.399994,278.75,276.5,277.725006,2495204.0,268.445557,-0.000719916621043204
2015-12-23,2015-12-23,280.0,280.0,277.0,278.149994,1583224.0,268.856354,0.0015291108095203398
2015-12-24,2015-12-24,278.25,279.899994,277.25,278.600006,808066.0,269.291321,0.0016165343266445475
2015-12-28,2015-12-28,277.774994,282.0,277.774994,280.725006,1957764.0,271.345367,0.007598655174137825
2015-12-29,2015-12-29,280.950012,284.100006,279.475006,282.024994,1600714.0,272.601929,0.004620169065826296
2015-12-30,2015-12-30,282.950012,284.0,278.0,279.049988,1004344.0,269.726288,-0.010604898879632785
2015-12-31,2015-12-31,279.0,281.700012,278.5,279.950012,2645542.0,270.596222,0.003220057412298693
2016-01-01,2016-01-01,279.899994,279.899994,277.049988,278.225006,1187072.0,268.92886400000003,-0.006180855539184904
2016-01-04,2016-01-04,278.5,280.0,278.0,278.850006,1286864.0,269.532959,0.002243781184263049
2016-01-05,2016-01-05,281.0,282.5,277.125,278.450012,1757824.0,269.146362,-0.001435351428214382
2016-01-06,2016-01-06,278.5,279.899994,276.5,277.549988,2296328.0,268.276398,-0.0032375434188560703
2016-01-07,2016-01-07,276.5,278.725006,273.549988,274.924988,4188110.0,265.739105,-0.009502765666491442
2016-01-08,2016-01-08,276.049988,278.924988,274.774994,277.899994,1743114.0,268.614746,0.010763162857142737
2016-01-11,2016-01-11,276.0,276.975006,267.200012,268.725006,3732820.0,259.746277,-0.03357288519688861
2016-01-12,2016-01-12,268.25,275.5,265.600006,274.450012,2618314.0,265.280029,0.021080684401274752
2016-01-13,2016-01-13,273.5,275.950012,270.225006,273.25,1345338.0,264.120117,-0.004381992958644609
2016-01-14,2016-01-14,272.5,274.950012,268.0,272.625,2189500.0,263.51599100000004,-0.00228993525967347
2016-01-15,2016-01-15,273.299988,274.424988,268.5,271.549988,1250316.0,262.476868,-0.003951096803109344
2016-01-18,2016-01-18,268.5,275.399994,265.375,273.575012,3386972.0,264.434265,0.007429738646967721
2016-01-19,2016-01-19,274.0,276.0,269.0,271.0,1914856.0,261.945282,-0.009457060269708606
2016-01-20,2016-01-20,269.524994,275.950012,266.600006,271.274994,2339292.0,262.21106000000003,0.0010141173595794584
2016-01-21,2016-01-21,270.774994,277.5,270.774994,275.399994,3487600.0,266.198273,0.015091666355869116
2016-01-22,2016-01-22,277.850006,277.850006,273.549988,275.049988,1666974.0,265.859955,-0.0012717331592400072
2016-01-25,2016-01-25,273.950012,274.899994,271.899994,273.524994,1591060.0,269.281036,0.0127858925541684
2016-01-27,2016-01-27,275.0,277.475006,271.774994,276.274994,4185196.0,271.988342,0.010003627351761857
2016-01-28,2016-01-28,276.600006,276.850006,272.200012,273.625,2422324.0,269.379486,-0.00963809099973556
2016-01-29,2016-01-29,274.299988,282.850006,274.299988,281.399994,2900466.0,277.033875,0.028018677045387186
2016-02-01,2016-02-01,282.799988,286.950012,278.649994,284.075012,3013946.0,279.667328,0.009460991387202355
2016-02-02,2016-02-02,285.049988,285.774994,282.100006,283.625,2570686.0,279.224304,-0.0015853667059051446
2016-02-03,2016-02-03,283.25,283.25,277.024994,278.899994,1205054.0,274.572632,-0.0167995924105373
2016-02-04,2016-02-04,280.149994,280.825012,276.850006,279.975006,2103744.0,275.630951,0.003847013497972007
2016-02-05,2016-02-05,280.0,282.899994,277.700012,278.950012,2153286.0,274.621887,-0.0036676417146495055
2016-02-08,2016-02-08,279.024994,280.100006,271.649994,272.5,1644282.0,268.271973,-0.02339390463176016
2016-02-09,2016-02-09,269.950012,269.950012,267.0,268.125,1600472.0,263.964813,-0.01618548037903178
