Date,Date.1,SUPREMEIND.NS.Open,SUPREMEIND.NS.High,SUPREMEIND.NS.Low,SUPREMEIND.NS.Close,SUPREMEIND.NS.Volume,SUPREMEIND.NS.Adjusted,log_returns
2013-11-08,2013-11-08,396.0,396.049988,394.0,394.549988,14698.0,374.912109,-0.005938400703491276
2013-11-11,2013-11-11,398.799988,398.799988,384.5,395.5,4392.0,375.814819,0.0024048969109866647
2013-11-12,2013-11-12,389.049988,398.0,389.049988,395.399994,8986.0,375.719788,-0.0002528985348684287
2013-11-13,2013-11-13,395.0,399.5,390.649994,398.75,6082.0,378.903076,0.008436815352422578
2013-11-14,2013-11-14,399.0,402.0,396.0,401.149994,17032.0,381.183655,0.006000856877705907
2013-11-18,2013-11-18,405.0,406.0,400.0,400.399994,20692.0,380.470947,-0.0018714735160667575
2013-11-19,2013-11-19,400.0,401.0,391.5,394.799988,8607.0,375.149658,-0.014084785234267372
2013-11-20,2013-11-20,392.549988,398.0,385.0,386.899994,16437.0,367.642883,-0.020212993986250538
2013-11-21,2013-11-21,385.0,391.899994,385.0,387.899994,14899.0,368.593109,0.00258130962884362
2013-11-22,2013-11-22,392.0,395.0,389.0,393.399994,38595.0,373.819336,0.014079271881932696
2013-11-25,2013-11-25,391.75,397.149994,391.049988,394.450012,23043.0,374.817169,0.0026657358657535823
2013-11-26,2013-11-26,393.0,396.950012,390.200012,393.950012,7299.0,374.34201,-0.0012685129596885505
2013-11-27,2013-11-27,393.049988,394.950012,385.100006,386.649994,4440.0,367.405334,-0.01870415387467617
2013-11-28,2013-11-28,387.0,391.899994,385.200012,388.049988,23511.0,368.735657,0.0036143197144724577
2013-11-29,2013-11-29,392.0,401.450012,388.049988,398.049988,26256.0,378.237946,0.02544347372201905
2013-12-02,2013-12-02,401.0,405.950012,394.950012,404.950012,38320.0,384.794495,0.017185928207778645
2013-12-03,2013-12-03,405.0,420.0,405.0,417.75,54597.0,396.957428,0.03111962812409796
2013-12-04,2013-12-04,417.0,427.0,417.0,425.450012,34171.0,404.2742,0.018264319930760387
2013-12-05,2013-12-05,430.0,430.0,415.0,424.950012,21239.0,403.798981,-0.0011761782619643668
2013-12-06,2013-12-06,425.0,438.0,425.0,435.200012,44401.0,413.538818,0.023834204371188328
2013-12-09,2013-12-09,438.0,445.0,436.5,442.450012,419084.0,420.428009,0.01652187470642641
2013-12-10,2013-12-10,441.0,446.5,438.200012,441.850006,64927.0,419.85788,-0.0013569883653898884
2013-12-11,2013-12-11,435.0,449.0,435.0,447.549988,53948.0,425.274139,0.012817720859981565
2013-12-12,2013-12-12,445.049988,464.950012,445.049988,459.950012,551004.0,437.056976,0.027329572538312696
2013-12-13,2013-12-13,455.0,459.950012,440.0,447.850006,11431.0,425.559265,-0.02665934494890987
2013-12-16,2013-12-16,446.0,448.299988,441.100006,444.89999400000005,5108.0,422.756042,-0.0066089416992749506
2013-12-17,2013-12-17,450.0,452.25,436.5,448.39999400000005,16681.0,426.081848,0.007836179458495351
2013-12-18,2013-12-18,451.0,454.0,441.0,447.299988,6354.0,425.036621,-0.0024561269988128127
2013-12-19,2013-12-19,452.0,452.0,440.14999400000005,443.850006,19201.0,421.758331,-0.007742857631673593
2013-12-20,2013-12-20,443.850006,449.89999400000005,435.0,440.39999400000005,14916.0,418.47995,-0.0078034950570726735
2013-12-23,2013-12-23,436.100006,447.0,431.25,434.600006,39598.0,412.96875,-0.013257055343662394
2013-12-24,2013-12-24,431.0,434.0,419.100006,423.25,19959.0,402.183624,-0.026463163790693574
2013-12-26,2013-12-26,422.0,432.0,419.299988,420.39999400000005,19194.0,399.475494,-0.006756338800214756
2013-12-27,2013-12-27,426.0,426.0,413.0,423.850006,46243.0,402.753754,0.008172921284573142
2013-12-30,2013-12-30,423.75,432.0,422.049988,427.299988,16988.0,406.032043,0.008106737200417768
2013-12-31,2013-12-31,424.39999400000005,434.89999400000005,422.0,425.049988,9191.0,403.894043,-0.0052795063723154465
2014-01-01,2014-01-01,431.0,431.0,422.0,423.5,12644.0,402.421173,-0.0036533395599116494
2014-01-02,2014-01-02,426.0,432.39999400000005,416.0,417.25,659340.0,396.482269,-0.014867912914938053
2014-01-03,2014-01-03,416.0,422.5,410.0,413.75,20027.0,393.156464,-0.008423661421471884
2014-01-06,2014-01-06,413.75,425.0,409.549988,424.14999400000005,60945.0,403.038849,0.024825296940162996
2014-01-07,2014-01-07,431.700012,431.700012,420.600006,425.049988,71916.0,403.894043,0.002119616956158588
2014-01-08,2014-01-08,426.0,427.0,420.299988,421.700012,16087.0,400.710815,-0.007912566215529715
2014-01-09,2014-01-09,425.0,435.0,425.0,431.0,52615.0,409.547913,0.02181389256683186
2014-01-10,2014-01-10,433.0,439.25,428.0,433.89999400000005,24182.0,412.303528,0.006705896440572623
2014-01-13,2014-01-13,433.89999400000005,451.450012,433.75,448.25,481518.0,425.939331,0.032537124082058
2014-01-14,2014-01-14,449.950012,457.39999400000005,441.0,443.700012,24525.0,421.615814,-0.010202414623008416
2014-01-15,2014-01-15,446.0,473.950012,446.0,469.850006,86027.0,446.464233,0.05726478583344274
2014-01-16,2014-01-16,470.0,474.799988,466.0,469.100006,96609.0,445.751556,-0.001597544361707115
2014-01-17,2014-01-17,467.700012,473.89999400000005,459.950012,472.25,21108.0,448.74478099999993,0.006692562168202798
2014-01-20,2014-01-20,472.89999400000005,477.0,462.75,469.0,14062.0,445.65649400000007,-0.00690584720721521
2014-01-21,2014-01-21,470.0,472.350006,443.5,449.100006,95928.0,426.747009,-0.043357109581435786
2014-01-22,2014-01-22,455.0,469.0,444.5,451.89999400000005,121402.0,429.407654,0.006215357295091373
2014-01-23,2014-01-23,442.049988,449.0,414.5,419.049988,116972.0,398.192688,-0.07547068132807587
2014-01-24,2014-01-24,419.049988,425.0,392.899994,416.700012,185261.0,395.959717,-0.005623547496965031
2014-01-27,2014-01-27,411.0,422.0,401.049988,420.299988,32420.0,401.30658,0.013413192516443571
2014-01-28,2014-01-28,421.049988,430.0,421.049988,425.39999400000005,17429.0,406.176086,0.012061101087483372
2014-01-29,2014-01-29,423.25,433.350006,423.25,432.0,22492.0,412.477875,0.015395793035998471
